TARDIS-SN,https://summerofcode.withgoogle.com/archive/2020/organizations/6024226160508928/,python
TensorFlow,https://summerofcode.withgoogle.com/archive/2020/organizations/5569649606918144/,"machine learning,deep learning,python,data analysis,c/c++"
The Apache Software Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6679967372410880/,"java,c++"
The GNU Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5461276207087616/,"c/c++,javascript,android,python,scheme"
The Honeynet Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5961706703945728/,"python,golang,honeypot,machine learning,networking"
The Libreswan Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5398756750524416/,"c,python"
The Mifos Initiative,https://summerofcode.withgoogle.com/archive/2020/organizations/6055344943398912/,"android,java,angular,mysql,spring"
The ns-3 Network Simulator Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5105708816662528/,"c/c++,python"
The Terasology Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4504833932918784/,"java,lwgjl,opengl,blender,gradle"
The Wine Project,https://summerofcode.withgoogle.com/archive/2020/organizations/6331124088832000/,"c,opengl,directx,win32,vulkan"
Wikimedia Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5593787323121664/,"html,css,python,javascript,php"
XMPP Standards Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5153224375402496/,"java,xmpp,vala,webrtc,lua"
XWiki,https://summerofcode.withgoogle.com/archive/2020/organizations/6726059115937792/,"java,javascript,html5,css,velocity"
Zulip,https://summerofcode.withgoogle.com/archive/2020/organizations/5924162381545472/,"python,react native,django,typescript,electron"
